"ecosystem","sample","sample_fraction","fraction","sampleID","isotope.treatment","iso.treat.eco","Density.g.ml","avg_16S_copies","dna_ng_ul","uL_added","dry_soil_wt_g"
"GL",11,"11_13",13,"W1_GL_11","12C_N","12C_N.GL",1.681728,412377.3995,20.1,NA,0.273361039716332
"GL",11,"11_14",14,"W1_GL_11","12C_N","12C_N.GL",1.6784,269379.5855,20.1,NA,0.273361039716332
"GL",11,"11_15",15,"W1_GL_11","12C_N","12C_N.GL",1.6735,107924.7255,20.1,NA,0.273361039716332
"GL",11,"11_16",16,"W1_GL_11","12C_N","12C_N.GL",1.6686,87304.3739,20.1,NA,0.273361039716332
"GL",11,"11_3",3,"W1_GL_11","12C_N","12C_N.GL",1.7333152,1907.413139,20.1,NA,0.273361039716332
"GL",11,"11_4",4,"W1_GL_11","12C_N","12C_N.GL",1.7280512,1692.986976,20.1,NA,0.273361039716332
"GL",11,"11_5",5,"W1_GL_11","12C_N","12C_N.GL",1.72384,1767.517562,20.1,NA,0.273361039716332
"GL",11,"11_6",6,"W1_GL_11","12C_N","12C_N.GL",1.718576,1859.35579,20.1,NA,0.273361039716332
"GL",11,"11_7",7,"W1_GL_11","12C_N","12C_N.GL",1.713312,2841.65395,20.1,NA,0.273361039716332
"GL",11,"11_8",8,"W1_GL_11","12C_N","12C_N.GL",1.708048,3676.431465,20.1,NA,0.273361039716332
"GL",11,"11_9",9,"W1_GL_11","12C_N","12C_N.GL",1.7038368,8782.441744,20.1,NA,0.273361039716332
"GL",12,"12_1",1,"W1_GL_12","12C_N","12C_N.GL",1.7322624,2208.369409,19.5,50,0.251492156539026
"GL",12,"12_10",10,"W1_GL_12","12C_N","12C_N.GL",1.6964672,18914.87788,19.5,50,0.251492156539026
"GL",12,"12_11",11,"W1_GL_12","12C_N","12C_N.GL",1.692256,100959.3403,19.5,50,0.251492156539026
"GL",12,"12_12",12,"W1_GL_12","12C_N","12C_N.GL",1.686992,413442.6335,19.5,50,0.251492156539026
"GL",12,"12_13",13,"W1_GL_12","12C_N","12C_N.GL",1.681728,1113348.585,19.5,50,0.251492156539026
"GL",12,"12_14",14,"W1_GL_12","12C_N","12C_N.GL",1.676464,712179.3985,19.5,50,0.251492156539026
"GL",12,"12_15",15,"W1_GL_12","12C_N","12C_N.GL",1.6722528,374942.4603,19.5,50,0.251492156539026
"GL",12,"12_16",16,"W1_GL_12","12C_N","12C_N.GL",1.6690944,274595.3391,19.5,50,0.251492156539026
"GL",12,"12_17",17,"W1_GL_12","12C_N","12C_N.GL",1.6627776,56561.51277,19.5,50,0.251492156539026
"GL",12,"12_18",18,"W1_GL_12","12C_N","12C_N.GL",1.6606,22474.85785,19.5,50,0.251492156539026
"GL",12,"12_3",3,"W1_GL_12","12C_N","12C_N.GL",1.7280512,2069.363181,19.5,50,0.251492156539026
"GL",12,"12_4",4,"W1_GL_12","12C_N","12C_N.GL",1.7248928,2318.264473,19.5,50,0.251492156539026
"GL",12,"12_5",5,"W1_GL_12","12C_N","12C_N.GL",1.7206816,2270.852993,19.5,50,0.251492156539026
"GL",12,"12_6",6,"W1_GL_12","12C_N","12C_N.GL",1.7164704,1918.43713,19.5,50,0.251492156539026
"GL",12,"12_7",7,"W1_GL_12","12C_N","12C_N.GL",1.7122592,2134.045485,19.5,50,0.251492156539026
"GL",12,"12_8",8,"W1_GL_12","12C_N","12C_N.GL",1.7069952,2704.927543,19.5,50,0.251492156539026
"GL",12,"12_9",9,"W1_GL_12","12C_N","12C_N.GL",1.7017312,4032.501371,19.5,50,0.251492156539026
"GL",13,"13_10",10,"W1_GL_13","13C_N","13C_N.GL",1.7048896,86161.59404,20,50,0.25737993277907
"GL",13,"13_11",11,"W1_GL_13","13C_N","13C_N.GL",1.7006784,114392.3868,20,50,0.25737993277907
"GL",13,"13_12",12,"W1_GL_13","13C_N","13C_N.GL",1.6954144,253123.6753,20,50,0.25737993277907
"GL",13,"13_13",13,"W1_GL_13","13C_N","13C_N.GL",1.6912032,642355.4398,20,50,0.25737993277907
"GL",13,"13_14",14,"W1_GL_13","13C_N","13C_N.GL",1.686992,658255.8406,20,50,0.25737993277907
"GL",13,"13_15",15,"W1_GL_13","13C_N","13C_N.GL",1.6827808,232763.9873,20,50,0.25737993277907
"GL",13,"13_16",16,"W1_GL_13","13C_N","13C_N.GL",1.6785696,58955.23902,20,50,0.25737993277907
"GL",13,"13_17",17,"W1_GL_13","13C_N","13C_N.GL",1.6743584,28509.2478,20,50,0.25737993277907
"GL",13,"13_18",18,"W1_GL_13","13C_N","13C_N.GL",1.6712,15630.00459,20,50,0.25737993277907
"GL",13,"13_19",19,"W1_GL_13","13C_N","13C_N.GL",1.667,7050.383144,20,50,0.25737993277907
"GL",13,"13_3",3,"W1_GL_13","13C_N","13C_N.GL",1.734368,1210.333534,20,50,0.25737993277907
